T,phi_u,phi_d,phi_s,Phi1,Phi2
50.0,-2.014719267292259,-1.9694099372277047,-2.3290078338190696,1.6794768367937404e-5,1.6794768367937404e-5
52.0,-2.0147192611488975,-1.9694099318707492,-2.3290078327684096,2.411748253746123e-5,2.411748253746123e-5
54.0,-2.014719249989983,-1.9694099221197332,-2.3290078308605264,3.385096667393046e-5,3.385096667393046e-5
56.0,-2.014719230228925,-1.9694099047247957,-2.329007827378872,4.655156074767688e-5,4.655156074767687e-5
58.0,-2.014719196459579,-1.9694098747917888,-2.3290078212455287,6.285232965375892e-5,6.285232965375894e-5
60.0,-2.014719140570645,-1.969409824926183,-2.3290078107797583,8.346645764751932e-5,8.346645764751933e-5
62.0,-2.014719050708423,-1.9694097442515004,-2.329007793429979,0.00010919050111939354,0.00010919050111939354
64.0,-2.014718909954985,-1.9694096171509963,-2.3290077654152967,0.00014090749063567538,0.00014090749063567538
66.0,-2.014718694661591,-1.969409421673062,-2.329007721252952,0.00017959378631105514,0.00017959378631105514
68.0,-2.0147183724498894,-1.9694091276061254,-2.3290076531601525,0.0002263085259137933,0.0002263085259137933
70.0,-2.0147178996867146,-1.9694086940419546,-2.3290075502763465,0.0002822149948259335,0.0002822149948259335
72.0,-2.014717218545353,-1.9694080665220375,-2.329007397709058,0.000348572687457015,0.000348572687457015
74.0,-2.0147162534792997,-1.969407173603315,-2.329007175348898,0.0004267432668660719,0.0004267432668660719
76.0,-2.0147149070893224,-1.9694059228182368,-2.329006856426685,0.000518194259846188,0.000518194259846188
78.0,-2.0147130553124395,-1.9694041959565836,-2.3290064057732818,0.0006245031380436874,0.0006245031380436874
80.0,-2.0147105418638525,-1.9694018435980643,-2.3290057777407402,0.0007473618835401718,0.0007473618835401718
82.0,-2.0147071718577294,-1.9693986788196118,-2.329004913739739,0.0008885821464643667,0.0008885821464643667
84.0,-2.014702704526276,-1.9693944699946033,-2.329003739344309,0.0010501011133609182,0.0010501011133609182
86.0,-2.0146968449483267,-1.9693889325931755,-2.329002160910148,0.0012339882186547027,0.0012339882186547027
88.0,-2.0146892346883973,-1.969381719882333,-2.3290000616472795,0.001442452848133533,0.001442452848133533
90.0,-2.0146794412340747,-1.969372412411739,-2.328997297081354,0.0016778532035680756,0.0016778532035680756
92.0,-2.0146669461034215,-1.9693605061548514,-2.3289936898297845,0.0019427065221868786,0.0019427065221868786
94.0,-2.014651131473734,-1.9693453991550163,-2.3289890236093465,0.002239700874714269,0.002239700874714269
96.0,-2.014631265158071,-1.9693263765010445,-2.3289830363799013,0.0025717088023012053,0.0025717088023012053
98.0,-2.01460648372451,-1.9693025934260335,-2.3289754125143847,0.0029418030975058374,0.0029418030975058374
100.0,-2.014575773514871,-1.9692730562845802,-2.328965773867084,0.0033532750895131154,0.0033532750895131154
102.0,-2.0145379492716766,-1.969236601116222,-2.328953669589879,0.0038096558615881492,0.0038096558615881492
104.0,-2.014491630022863,-1.9691918694436337,-2.328938564518477,0.004314740912648292,0.004314740912648292
106.0,-2.0144352118001843,-1.969137280880732,-2.328919825915946,0.004872618879116346,0.004872618879116346
108.0,-2.0143668366749377,-1.9690710020337872,-2.3288967083175427,0.00548770506351357,0.00548770506351357
110.0,-2.0142843574793585,-1.9689909110633903,-2.328868336166549,0.006164780679984334,0.006164780679984334
112.0,-2.014185297436156,-1.9688945571294485,-2.328833683861965,0.006909038933975818,0.006909038933975818
114.0,-2.0140668037340546,-1.9687791137568273,-2.328791552751618,0.007726139316826165,0.007726139316826165
116.0,-2.013925593850874,-1.9686413249230812,-2.3287405444927076,0.008622271833889113,0.008622271833889113
118.0,-2.0137578931220417,-1.9684774423659468,-2.328679030058064,0.009604233321372588,0.009604233321372588
120.0,-2.013559361657914,-1.9682831522140596,-2.328605113480136,0.010679518575817126,0.010679518575817126
122.0,-2.013325008197199,-1.9680534885281071,-2.3285165891807966,0.011856429767750932,0.011856429767750932
124.0,-2.013049087801267,-1.9677827306573756,-2.328410891413111,0.013144208603240835,0.013144208603240835
126.0,-2.0127249793827255,-1.9674642804052256,-2.3282850339117123,0.014553197027457627,0.014553197027457627
128.0,-2.0123450378304097,-1.9670905137661834,-2.328135537268908,0.016095034068202715,0.016095034068202715
130.0,-2.0119004138093097,-1.9666526003144087,-2.3279583407627693,0.017782898892588234,0.017782898892588234
132.0,-2.011380831981639,-1.9661402809915358,-2.327748694269503,0.019631813591038,0.019631813591038
134.0,-2.010774315116787,-1.9655415917656094,-2.327501024357665,0.02165902405420545,0.02165902405420545
136.0,-2.010066836877946,-1.9648425159554086,-2.327208766475011,0.02388448425432715,0.02388448425432715
138.0,-2.0092418792768734,-1.9640265412232512,-2.3268641519697715,0.026331479355584244,0.026331479355584244
140.0,-2.0082798607321677,-1.9630740871917647,-2.326457934008155,0.02902743807617225,0.02902743807617225
142.0,-2.00715738458988,-1.9619617535882854,-2.3259790290391553,0.032005011005960086,0.032005011005960086
144.0,-2.0058462401144723,-1.9606613209282766,-2.3254140418355758,0.03530350361080068,0.03530350361080068
146.0,-2.0043120351938786,-1.9591383832152933,-2.32474661870289,0.0389708730456703,0.0389708730456703
148.0,-2.0025123033414394,-1.9573504552619339,-2.323956555053297,0.043066487841196016,0.043066487841196016
150.0,-2.0003938027670483,-1.9552442728464796,-2.3230185274563717,0.047665098193337856,0.047665098193337856
152.0,-1.9978885592289926,-1.952751837980003,-2.3219002432438267,0.05286267791492235,0.05286267791492235
154.0,-1.9949078747241258,-1.9497844325013094,-2.3205596499472545,0.05878530250725634,0.05878530250725634
156.0,-1.9913329022136053,-1.9462232024781292,-2.3189405626277115,0.06560315098135842,0.06560315098135842
158.0,-1.986999129197278,-1.941903660966393,-2.3169654941052356,0.07355357696181927,0.07355357696181927
160.0,-1.9816694041264926,-1.9365887535626005,-2.3145232422609827,0.08298115818301552,0.08298115818301552
162.0,-1.9749838564626288,-1.9299188623026917,-2.3114459434392343,0.09441168659638563,0.09441168659638563
164.0,-1.9663592522282354,-1.9213113536426702,-2.307463172607319,0.10869925765134063,0.10869925765134063
166.0,-1.9547675267972946,-1.9097395935358492,-2.302101487322417,0.12734275734968195,0.12734275734968195
168.0,-1.938210217569512,-1.8932086988107297,-2.294447759698751,0.15319872379761346,0.15319872379761346
170.0,-1.912638066689933,-1.8676785080588942,-2.2826700922127623,0.19167826630048493,0.19167826630048493
172.0,-1.873244240571734,-1.8283563537177339,-2.2646388803642457,0.24696333613028218,0.24696333613028218
174.0,-1.8261476740170253,-1.7813487825976535,-2.243182376786644,0.3046850230683388,0.3046850230683388
176.0,-1.7802856606860338,-1.7355687500524426,-2.222322468246266,0.35133638349303603,0.35133638349303603
178.0,-1.735936769443104,-1.691295850626902,-2.202182010493858,0.38847599942812905,0.38847599942812905
180.0,-1.6916047526511577,-1.6470427941851988,-2.1821157926760537,0.4192811375213554,0.4192811375213554
182.0,-1.6461150677673086,-1.6016450686098176,-2.1616411024232005,0.4457536492407722,0.4457536492407722
184.0,-1.5985865779289699,-1.5542329119093878,-2.1404223733623753,0.46909871611268195,0.46909871611268195
186.0,-1.5482836108684508,-1.5040845754487078,-2.1182073884896395,0.4900784986781865,0.4900784986781865
188.0,-1.4945209999178883,-1.4505328383719556,-2.0947897877957176,0.5092017153231649,0.5092017153231649
190.0,-1.4366058405513271,-1.3929086390552843,-2.0699900979954196,0.5268235623132521,0.5268235623132521
192.0,-1.373800053942154,-1.3305061426098739,-2.043648210981942,0.5432005609819648,0.5432005609819648
194.0,-1.3052986391866186,-1.2625643564356464,-2.015624815101469,0.5585218510197919,0.5585218510197919
196.0,-1.2302296063391271,-1.1882713911593368,-1.985812884620779,0.5729271928997829,0.5729271928997829
198.0,-1.147698189137346,-1.1068135286850855,-1.9541637643037708,0.5865166370850426,0.5865166370850426
200.0,-1.05692917740741,-1.0175207779583284,-1.9207361517847006,0.5993542006720465,0.5993542006720465
202.0,-0.9576155373219121,-0.9202104223464924,-1.885777934596193,0.6114669622719501,0.6114669622719501
204.0,-0.8506333591424924,-0.8158730910262126,-1.8498380846060711,0.6228424708436896,0.6228424708436896
206.0,-0.7391460708777758,-0.7077026241823008,-1.8138463846257693,0.6334335947311959,0.6334335947311959
208.0,-0.6293455191412668,-0.6017295114435697,-1.7789813961752723,0.6431884462196896,0.6431884462196896
210.0,-0.529019983420129,-0.5053650594331157,-1.746181519699611,0.6521084434811139,0.6521084434811139
212.0,-0.4438103812878193,-0.42383296297475725,-1.71564634846891,0.6602836328072824,0.6602836328072824
214.0,-0.3749391469285422,-0.3581121561425396,-1.6869058467661393,0.6678573234694526,0.6678573234694526
216.0,-0.32042558575959945,-0.3061814174292816,-1.6592806738221166,0.6749656371766867,0.6749656371766867
218.0,-0.2772964666873071,-0.26513570486261184,-1.6321978764630525,0.68170970372698,0.68170970372698
220.0,-0.24282861845783565,-0.232347824151233,-1.6052623842521,0.6881574866665493,0.6881574866665493
222.0,-0.21489075827887272,-0.20577440855430296,-1.5782236839444987,0.6943539211559064,0.6943539211559064
224.0,-0.19190654962067769,-0.18390971633526787,-1.5509288770351326,0.7003295324463882,0.7003295324463882
226.0,-0.17272783339290762,-0.16565962452717206,-1.5232875585786252,0.706106027607094,0.706106027607094
228.0,-0.15651599596734636,-0.15022628592597803,-1.4952493414957415,0.7116996381839815,0.7116996381839815
230.0,-0.14265195427769328,-0.13702138322330706,-1.4667901283648745,0.7171230867041632,0.7171230867041632
232.0,-0.13067235066695193,-0.12560494238045453,-1.4379037670100614,0.7223867575308368,0.7223867575308368
234.0,-0.1202252724292562,-0.11564300265077442,-1.4085969032700376,0.727499411406163,0.727499411406163
236.0,-0.11103956891713257,-0.10687834910433981,-1.3788857198935454,0.7324686350538299,0.7324686350538299
238.0,-0.1029034340020507,-0.09911011560340573,-1.348793791851337,0.7373011336356183,0.7373011336356183
240.0,-0.0956492848864704,-0.09217940145888934,-1.318350605181163,0.742002927607175,0.742002927607175
242.0,-0.08914294610536157,-0.08595899281642606,-1.2875904699650709,0.7465794898183418,0.7465794898183418
244.0,-0.08327580790914059,-0.08034591614990917,-1.2565516652988782,0.7510358442080355,0.7510358442080355
246.0,-0.07795906491561382,-0.07525597044998976,-1.2252757180847602,0.7553766391043322,0.7553766391043322
248.0,-0.07311942860233342,-0.07061966011984075,-1.1938067566490738,0.7596062032400587,0.7596062032400587
250.0,-0.06869589757993382,-0.06637913248384299,-1.1621909048876053,0.763728589651556,0.763728589651556
252.0,-0.06463729665708211,-0.06248584504011341,-1.1304756986604279,0.7677476108250234,0.7677476108250234
254.0,-0.0609003814437439,-0.0588987692796996,-1.0987095167654441,0.7716668673285222,0.7716668673285222
256.0,-0.0574483637677928,-0.05558299360723028,-1.0669410258705783,0.7754897714526657,0.7754897714526657
258.0,-0.05424975361760513,-0.052508626357837325,-1.0352186433562185,0.7792195669223758,0.7792195669223758
260.0,-0.05127744159777301,-0.04964992677842356,-1.003590024751921,0.7828593454421843,0.7828593454421843
262.0,-0.048507965887532534,-0.046984610841586956,-0.9721015837602213,0.7864120606400175,0.7864120606400175
264.0,-0.04592092200314046,-0.04449329234845633,-0.9407980530433401,0.7898805398433226,0.7898805398433226
266.0,-0.04349848401739137,-0.042159029601278056,-0.909722093253548,0.7932674940332984,0.7932674940332984
268.0,-0.04122501345593027,-0.039966955105130875,-0.8789139564422332,0.7965755262619513,0.7965755262619513
270.0,-0.03908673767549326,-0.0379039710559068,-0.8484112081996967,0.7998071387740728,0.7998071387740728
272.0,-0.037071483691629104,-0.03595849731883155,-0.8182485108642541,0.8029647390434637,0.8029647390434637
274.0,-0.035168456552902634,-0.0341202615688861,-0.7884574680774795,0.8060506449071577,0.8060506449071577
276.0,-0.03336805373118249,-0.03238012351371737,-0.7590665290111512,0.8090670889592895,0.8090670889592895
278.0,-0.031661708810392694,-0.030729926837949922,-0.7301009488733589,0.8120162223461626,0.8120162223461626
280.0,-0.03004175915113834,-0.029162373829997274,-0.7015828009002185,0.8149001180855819,0.8149001180855819
282.0,-0.02850133328928539,-0.02767091867660614,-0.6735310340021514,0.8177207740157253,0.8177207740157253
284.0,-0.027034254668863906,-0.026249676208472284,-0.645961569570632,0.8204801154618425,0.8204801154618425
286.0,-0.02563495896979065,-0.024893343505630088,-0.6188874306430441,0.8231799976937623,0.8231799976937623
288.0,-0.02429842281104531,-0.023597132263966362,-0.5923188966316411,0.8258222082324034,0.8258222082324034
290.0,-0.023020102021753207,-0.02235671021412199,-0.5662636770921546,0.8284084690505623,0.8284084690505623
292.0,-0.02179587800022801,-0.021168150194103737,-0.5407270984782627,0.8309404387018372,0.8309404387018372
294.0,-0.02062201094282419,-0.020027885724619873,-0.5157122984395002,0.8334197144020412,0.8334197144020412
296.0,-0.019495098934688725,-0.018932672134932996,-0.49122042291618184,0.8358478340789197,0.8358478340789197
298.0,-0.018412042064016674,-0.01787955244726281,-0.4672508220157985,0.8382262783998257,0.8382262783998257
300.0,-0.01737001085885078,-0.016865827357572073,-0.44380124138212285,0.8405564727818408,0.8405564727818408
